Language	ISO 639-3	Glottocode	adverbial_clause	complement_clause	nominalization	relative_clause	subordination
Min Bei Chinese	mnp	minb1244	False	True	True	True	True
Migabac	mpp	miga1241	True	True	False	True	True
Mian	mpt	mian1256	True	False	True	True	True
Mewari	mtr	mewa1249	True	True	False	True	True
Mesqan	mvz	mesq1240	True	True	False	True	True
Mekeo	mek	meke1243	True	False	True	True	True
Mato	met	mato1252	False	True	True	True	True
Maskelynes	klv	mask1242	False	True	True	True	True
Masbatenyo	msb	masb1238	False	True	True	True	True
Maragus	mrs	mara1399	False	True	True	True	True
Mara	mec	mara1385	False	True	True	True	True
Mankanya	knf	mank1251	True	True	False	True	True
Manggarai	mqy	mang1405	True	False	True	True	True
Mandaya	mry	kara1489	False	True	True	True	True
Manda-Matumba	mgs	mand1423	True	True	False	True	True
Mali	gcc	mali1284	True	True	False	True	True
Malecite-Passamaquoddy	pqm	male1292	True	True	False	True	True
Male (Ethiopia)	mdy	male1284	True	True	False	True	True
Malayo	mbp	mala1522	True	True	True	True	False
Malay, Manado	xmm	mala1481	True	False	True	True	True
Malacca-Batavia Portuguese Creole	mcm	mala1533	True	False	True	True	True
Makaa	mcp	maka1304	True	True	True	True	False
Maisin	mbq	mais1250	False	True	True	True	True
Maipure-Avane	NOCODE_Maipure	maip1247	True	False	True	True	True
